,brand,price,cartype,model,gearbox,regdate,mileage,motorpower,fuel,car_steering,carcolor,exchange,version,doors,financial,extra,Y
3147,ford,32900,hatch,ka,manual,2017,45132,1,flex,elétrica,branco,sim,ka 1.0 tecno 12v flex 5p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, som",0
3148,ford,37900,passeio,ka,manual,2018,39436,0,flex,0,0,0,ka 1.0 se 12v flex 4p manual,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado",0
3149,vwvolkswagen,40999,hatch,fox,manual,2017,17000,1.6,flex,hidráulica,branco,não,fox run 1.6 flex 8v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
3150,vwvolkswagen,28900,passeio,saveiro,manual,2016,63000,1.6,flex,hidráulica,branco,sim,0,2 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme",
3151,ford,22999,hatch,fiesta,manual,2014,61,1,flex,hidráulica,prata,não,fiesta se 1.0 8v flex 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",1
3152,vwvolkswagen,40000,0,up,manual,2016,68500,1,flex,hidráulica,branco,não,up  cross 1.0 tsi total flex 12v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
3153,vwvolkswagen,36899,hatch,up,manual,2017,15000,1,flex,elétrica,prata,sim,up  move 1.0 total flex 12v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
3154,ford,69900,sedã,fusion,automático,2015,59000,2.02.9,flex,elétrica,branco,0,fusion titanium 2.0 gtdi eco. fwd aut.,0,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, som, sensor de ré, c mera de ré",0
3155,vwvolkswagen,25900,pickup,saveiro,manual,2013,111000,1.6,flex,hidráulica,preto,sim,saveiro 1.6 mi total flex 8v ce,2 portas,0,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, alarme, som",
3156,ford,20900,hatch,fiesta,manual,2013,89000,1.6,flex,mecnica,prata,não,fiesta 1.6 8v flex class 1.6 8v flex 5p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
